Username,Username_Follower,Num_Followers
teeli__peachmuffin,lesliefranksgh,625
teeli__peachmuffin,peacefulwildfire,1160
teeli__peachmuffin,onga.gh.31,456
teeli__peachmuffin,abbey_inzaghi,1214
teeli__peachmuffin,reboundafrica,1016
teeli__peachmuffin,m.buchmaier,3982
teeli__peachmuffin,vangabriel95,1223
teeli__peachmuffin,sosoloyal,13762
teeli__peachmuffin,muaz.a.r,986
teeli__peachmuffin,emyraldeabrhyte,1003
teeli__peachmuffin,breakvicks,4368
teeli__peachmuffin,theoffxcxal_.lex,1373
teeli__peachmuffin,jaadil31,1052
teeli__peachmuffin,mamameagan32,445
teeli__peachmuffin,archie_iv,733
teeli__peachmuffin,denniscobbs,678
teeli__peachmuffin,kofiananse_stories,2433
teeli__peachmuffin,kofijemfi,325
teeli__peachmuffin,richlovefager12,29
teeli__peachmuffin,stampedlikereese_,1081
teeli__peachmuffin,riches9952,19
teeli__peachmuffin,_mzasiedu_,628
teeli__peachmuffin,iamaame_ama,581followers
teeli__peachmuffin,trenchbaby_rex,3715
teeli__peachmuffin,mykekk,613
teeli__peachmuffin,keee12x,4212
teeli__peachmuffin,bellanto_1,591
teeli__peachmuffin,samuel_kwame_ayaba,652
teeli__peachmuffin,don_tatale,1615
teeli__peachmuffin,morri_rinna,1870
teeli__peachmuffin,abi.weeb,947
teeli__peachmuffin,yanerta,893
teeli__peachmuffin,dnicedagr8,2441
teeli__peachmuffin,donkor_agyeman_,1220
teeli__peachmuffin,martinsadjei,423
teeli__peachmuffin,barbiedoll._.jay,1544
teeli__peachmuffin,safiasalia27,35
teeli__peachmuffin,helter.skelter69,597
teeli__peachmuffin,xiofentam,211
teeli__peachmuffin,stanzy2011,48
teeli__peachmuffin,ffs_workz_allme,2147
teeli__peachmuffin,mildred__k,1616
teeli__peachmuffin,spencerbwoy_,2053
teeli__peachmuffin,daltonsackey,N/A
teeli__peachmuffin,sugarplum_nijah,N/A
teeli__peachmuffin,cristiangomez9390,N/A
teeli__peachmuffin,ceraphyna,1781
teeli__peachmuffin,_ude_,N/A
teeli__peachmuffin,ali.n.kefel,N/A
teeli__peachmuffin,kizkidlove,N/A
